N (kg/ha),P (kg/ha),K (kg/ha),Fertilizer A (kg/ha),Fertilizer B (kg/ha),Crop Yield (tons/ha),Soil Type,"Climate (Temp °C, Rainfall mm)"
38.23,47.66,66.53,55.5,39.8,6.84,Sandy,"(27.478534185766996, 213.67087430046908)"
36.2,15.52,33.16,106.95,75.05,5.31,Sandy,"(23.13320680181363, 370.08019923760327)"
48.02,29.65,49.91,70.38,46.09,6.49,Silty Clay,"(22.67044955994315, 243.8340255142357)"
51.38,39.91,45.63,75.21,61.53,7.46,Silty Clay Loam,"(30.358569768189334, 158.64481240386445)"
58.97,19.6,67.49,99.03,55.67,6.11,Sandy,"(28.946136614867967, 127.45619141185541)"
61.59,19.59,42.1,137.18,30.97,7.48,Silty Clay,"(31.187703038106523, 379.44413429444234)"
43.66,38.3,28.25,133.99,27.76,7.32,Sandy Loam,"(27.675568161608453, 147.98575569701762)"
40.57,35.41,36.05,139.81,92.52,6.14,Sandy Clay Loam,"(30.848916142820066, 262.87600849675823)"
30.29,42.3,45.73,122.0,64.11,6.83,Sandy Clay Loam,"(20.82031334690722, 310.61852258291594)"
62.97,45.67,65.4,72.01,29.45,5.33,Sandy Clay Loam,"(25.71336740625184, 380.1760276115418)"
60.3,33.3,48.09,140.71,59.26,5.33,Silty Clay Loam,"(29.336297243714554, 165.97814259661828)"
63.57,32.72,42.64,123.85,46.02,7.29,Loam,"(18.245044704192214, 216.5853528708589)"
50.38,33.01,54.91,43.71,42.12,5.58,Sandy Clay Loam,"(24.86479763375543, 322.7850489778516)"
30.11,24.59,47.21,131.54,26.36,6.44,Sandy,"(19.87402286172871, 380.72425631164975)"
36.68,40.86,39.04,117.2,72.91,6.93,Silty Clay,"(15.426882568153756, 273.4529743484494)"
49.41,34.98,30.63,147.39,39.47,5.36,Silty Clay,"(28.540066170287712, 474.9098862187616)"
67.49,26.16,45.49,141.82,45.35,6.09,Silty Clay,"(22.137912768632308, 388.6124041047949)"
55.69,30.5,73.17,63.58,33.25,6.62,Sandy,"(15.006847118057355, 274.48420621934304)"
67.31,32.71,58.63,99.64,21.07,5.38,Sandy Clay Loam,"(28.49749491337834, 295.95190753414664)"
63.07,45.75,71.3,58.75,90.67,5.16,Silty Clay,"(20.589985192308905, 487.13319249065836)"
53.91,17.15,60.61,79.55,93.62,5.49,Clayey Loam,"(24.160377249284924, 163.1777895626457)"
57.73,21.48,36.36,46.99,89.2,5.36,Sandy,"(17.07956750202158, 317.2105618539414)"
38.23,22.38,28.64,42.04,52.69,5.71,Sandy Clay Loam,"(26.815209772223245, 198.5848268908676)"
60.64,28.47,52.29,134.0,77.49,7.16,Clayey Loam,"(24.077348180787652, 246.57714644601035)"
40.01,47.99,55.08,90.47,47.62,6.38,Clayey Loam,"(26.68941338554295, 361.02437290578484)"
48.68,24.86,51.92,51.48,73.94,6.92,Clayey Loam,"(27.90342967920884, 466.4611831597161)"
40.36,46.68,66.98,56.4,38.0,6.32,Sandy Loam,"(20.539729661909575, 253.51621181928365)"
44.68,32.77,71.18,101.99,24.44,7.98,Silty Clay,"(17.71561548342175, 312.6958310705827)"
46.54,26.88,56.25,129.24,55.58,7.93,Sandy Loam,"(31.288039139828747, 308.50143718871357)"
30.22,33.1,25.47,112.12,42.21,5.42,Sandy Loam,"(25.005760201080143, 248.00216253187585)"
51.93,26.34,47.42,97.4,55.17,6.45,Loam,"(24.38860490373575, 205.8148284458164)"
30.65,17.04,52.15,117.7,75.98,5.23,Clayey Loam,"(26.67600886294543, 356.3059074711879)"
61.81,41.83,48.21,42.37,48.74,5.9,Sandy,"(20.3663698117339, 311.8400195408718)"
33.86,31.74,51.85,145.7,38.2,5.04,Sandy,"(20.444154609226086, 432.4051394431904)"
60.56,28.61,69.68,99.48,27.82,4.6,Loam,"(18.083228627227427, 481.00491109515883)"
49.72,38.7,28.65,81.09,93.04,5.26,Sandy,"(17.072211251492966, 258.8798818910582)"
32.0,43.08,51.39,64.39,44.1,5.24,Sandy Clay Loam,"(17.001055523419332, 166.9102762215761)"
54.38,27.98,44.2,86.16,32.56,5.13,Silty Clay,"(21.125881052775956, 448.1755374940973)"
59.75,20.04,39.64,129.18,70.63,8.26,Sandy,"(15.574332067034636, 391.722795375143)"
51.19,30.96,40.69,145.66,65.92,4.64,Silty Clay Loam,"(28.84121642709843, 161.08699226601067)"
69.86,28.59,45.23,100.13,77.38,4.66,Sandy,"(23.452503626147475, 146.2226692305854)"
42.55,42.69,67.7,57.49,92.09,8.47,Clayey Loam,"(15.567724280881128, 456.3877869358568)"
46.43,39.02,48.54,148.94,51.79,5.53,Sandy,"(25.68777219900621, 425.3288468293181)"
44.23,25.8,54.75,99.29,88.97,4.36,Sandy Clay Loam,"(30.98927733619547, 207.4376998782824)"
64.55,32.37,57.51,44.15,24.54,4.95,Loam,"(28.391877528816366, 363.7180363708111)"
62.36,32.03,37.14,146.04,83.98,7.16,Loam,"(27.48932857151036, 490.24073656855916)"
33.81,30.91,68.16,56.63,70.95,7.29,Silty Clay,"(31.65068097968386, 248.59504069648398)"
54.86,15.96,72.1,63.51,39.53,8.48,Silty Clay Loam,"(28.5096425669382, 152.62409944538666)"
50.6,29.33,55.06,60.02,92.41,7.72,Loam,"(15.270543014887124, 333.0595207059058)"
62.87,48.05,70.46,59.74,53.14,8.23,Sandy Clay Loam,"(18.05282407670091, 355.18722128950515)"
43.29,28.03,36.0,146.14,60.09,5.33,Sandy Loam,"(26.523024738504603, 259.7886317407409)"
57.23,26.18,35.0,90.57,81.58,7.81,Sandy Loam,"(23.49069913279364, 301.76914895357004)"
67.21,40.56,35.68,63.71,31.24,7.53,Sandy,"(27.151406235290395, 220.3833864412166)"
39.73,43.36,58.87,87.44,76.11,6.35,Clayey Loam,"(21.914401248780557, 175.29893221471076)"
67.6,16.55,32.35,111.48,84.48,4.08,Silty Clay Loam,"(30.020281636284846, 420.5876525758592)"
46.54,28.82,73.47,97.35,73.62,7.57,Silty Clay Loam,"(31.27168968454627, 279.56329257154937)"
43.3,43.92,26.54,89.2,23.67,5.87,Sandy,"(20.163917995595085, 378.30355712057803)"
64.75,28.58,60.35,96.19,35.9,7.92,Silty Clay Loam,"(19.453720013976636, 361.135504325679)"
44.64,15.49,67.51,95.22,29.9,5.27,Sandy,"(19.3636852676465, 430.84839379208756)"
49.98,29.69,41.74,99.02,71.04,4.69,Clayey Loam,"(16.62910107705972, 171.61297278016727)"
57.39,36.17,36.0,52.66,22.86,8.24,Silty Clay Loam,"(24.207604805092092, 136.30680344200096)"
67.76,44.89,54.28,68.31,29.94,6.21,Clayey Loam,"(31.726312475318476, 193.6993967981594)"
42.54,42.44,54.14,67.85,33.64,4.22,Loam,"(29.749094105150938, 330.4333496141235)"
31.11,19.05,62.87,146.06,54.43,4.99,Sandy,"(22.660972831891236, 204.84085524339108)"
31.67,43.01,55.1,105.42,54.15,5.33,Sandy,"(20.75200372096426, 470.2573871360315)"
55.13,20.73,36.32,111.04,85.62,7.1,Silty Clay,"(17.415593473795305, 270.622264920876)"
50.72,46.32,37.34,41.88,70.09,6.63,Sandy Loam,"(31.080434095209846, 320.75075049554493)"
36.05,48.84,49.09,83.07,41.99,5.15,Silty Clay Loam,"(31.193921441362942, 247.27381487683806)"
58.81,26.0,30.22,94.98,23.15,7.25,Sandy Clay Loam,"(25.517744235956144, 459.3391342299057)"
57.42,40.37,30.22,88.57,31.4,4.96,Silty Clay Loam,"(27.47093227579881, 434.6292296700339)"
67.68,32.27,33.14,134.45,61.18,8.1,Sandy Loam,"(19.572804650058842, 324.8109629159808)"
42.18,45.62,28.71,60.45,65.74,4.49,Sandy Loam,"(15.189205711833962, 417.1992617847513)"
56.47,27.44,58.42,130.47,64.65,7.04,Sandy,"(28.043788989766917, 239.75207067411236)"
67.6,30.23,68.8,42.04,53.87,5.67,Sandy,"(22.926140595846142, 257.91380025528485)"
51.51,36.32,69.26,53.05,38.03,8.48,Sandy Loam,"(25.735413890500347, 464.2143063307046)"
52.29,49.2,42.54,140.7,34.12,6.5,Loam,"(15.976616925277213, 450.767927294264)"
69.9,34.14,46.59,73.66,65.69,7.29,Sandy,"(29.88561319250865, 187.62317825957012)"
41.31,30.7,59.21,91.59,52.59,6.86,Silty Clay Loam,"(17.385387889716494, 306.58308656031807)"
34.87,32.6,66.91,119.59,55.23,4.03,Silty Clay Loam,"(26.465632684634855, 349.79400559528506)"
32.46,26.98,48.26,40.98,79.55,5.37,Clayey Loam,"(28.639757645648643, 357.071699218446)"
55.24,25.38,62.87,73.65,83.65,8.35,Loam,"(19.80199095222291, 409.63358190666185)"
65.68,18.89,39.07,67.43,79.1,6.22,Silty Clay Loam,"(20.833701138797636, 347.24309623333966)"
41.54,37.5,25.07,89.66,93.9,5.78,Silty Clay Loam,"(20.30791021262218, 377.42064171330014)"
30.39,45.47,62.6,106.82,37.5,4.11,Loam,"(22.58961559238852, 155.1270695009121)"
65.21,34.31,49.2,71.82,80.37,4.03,Sandy Loam,"(30.853211990695307, 427.326719189903)"
31.75,36.45,31.69,100.79,65.31,5.03,Sandy,"(29.677539042166124, 488.3447772769909)"
60.0,44.71,30.42,128.36,46.01,6.66,Loam,"(20.516606539974507, 452.34634804943494)"
48.51,15.8,71.88,143.48,89.92,8.2,Silty Clay Loam,"(17.963160275103693, 180.26644439122956)"
36.38,35.29,57.03,103.71,51.13,7.22,Sandy Loam,"(27.905436184602742, 351.38785236071305)"
36.82,35.17,55.59,44.66,59.88,7.56,Silty Clay Loam,"(27.928837888594913, 158.19797653095142)"
36.57,42.99,61.68,132.13,34.74,5.5,Silty Clay,"(27.718850458792673, 151.3842669056991)"
43.01,32.6,70.18,116.25,79.89,8.07,Sandy Clay Loam,"(28.10569953628333, 436.8091118030245)"
65.6,32.88,54.1,121.93,27.84,7.68,Silty Clay,"(22.43700546554608, 449.72426585729085)"
38.65,19.19,64.82,89.7,65.01,6.36,Sandy,"(21.793079489068518, 439.07313694220085)"
57.95,38.51,70.74,144.46,27.04,6.07,Sandy Clay Loam,"(20.274862920501118, 258.1616242888066)"
38.97,39.79,30.98,91.22,52.62,4.88,Clayey Loam,"(23.8660900897359, 349.3415321526263)"
31.23,18.5,64.19,78.18,32.79,8.15,Silty Clay Loam,"(31.05766628376159, 209.29964582169993)"
40.32,40.19,74.77,114.27,27.47,5.22,Sandy,"(20.14823748167153, 155.06792936612672)"
38.41,40.58,47.5,76.98,73.82,6.69,Sandy Clay Loam,"(31.655815974869785, 419.44753899199077)"
49.98,49.11,31.64,119.71,43.38,5.29,Sandy,"(18.938749125970155, 163.5233322619406)"
46.32,47.93,71.3,147.96,29.88,4.82,Sandy,"(27.524370356469667, 462.84130511924934)"
60.47,46.16,73.15,118.47,52.79,4.58,Sandy Clay Loam,"(28.189026809078833, 282.0283653916712)"
39.8,30.8,29.79,48.49,54.81,4.07,Sandy,"(31.898706377862787, 262.7845946418313)"
63.72,42.63,52.49,55.68,94.09,4.32,Loam,"(25.330878645149255, 442.75529061809306)"
59.06,40.05,46.8,123.1,59.06,4.95,Sandy,"(28.321372579181848, 310.8106089648394)"
64.28,41.23,28.19,110.55,23.16,6.85,Loam,"(16.876956753907844, 458.22137743612376)"
32.54,23.97,60.96,43.01,97.48,5.86,Sandy Clay Loam,"(28.4797095881273, 282.89600229916874)"
54.92,21.64,46.01,91.09,90.16,4.06,Sandy,"(17.523053464663242, 438.52682438455105)"
33.69,49.38,27.04,41.23,58.19,4.29,Sandy Clay Loam,"(28.058779302292265, 395.7464129059978)"
30.65,24.73,67.5,43.19,95.55,6.38,Silty Clay Loam,"(23.543032537381904, 380.08913552199897)"
43.34,31.43,27.79,126.65,48.87,4.13,Clayey Loam,"(21.70796568794868, 295.4276364044156)"
39.32,21.58,56.93,124.54,21.3,7.75,Sandy,"(27.94742400117078, 341.5455777482783)"
42.1,41.32,40.69,66.7,55.6,7.76,Clayey Loam,"(22.80359713383584, 237.9197476679051)"
57.21,49.65,50.23,121.17,51.06,6.54,Sandy Loam,"(19.73824812970418, 153.66176372052394)"
41.07,20.41,48.34,47.39,38.83,8.44,Silty Clay Loam,"(17.151290641507696, 441.2228265585556)"
42.91,21.12,30.43,102.72,35.88,7.06,Sandy Clay Loam,"(18.2149673371448, 280.4810062381308)"
32.85,31.49,47.85,51.71,65.08,4.88,Silty Clay Loam,"(28.394220507821725, 249.32159295129333)"
39.99,43.9,51.42,127.77,45.73,4.1,Silty Clay Loam,"(27.16748747318824, 138.52246134094077)"
56.73,16.66,74.11,46.37,41.27,5.02,Sandy,"(24.442882068258648, 148.17932900200026)"
69.71,46.41,71.48,107.6,88.72,6.28,Sandy,"(31.354437100974494, 286.2017380593286)"
41.72,38.25,29.67,138.46,88.69,5.93,Clayey Loam,"(29.293016875598006, 141.37160363339785)"
31.26,34.97,51.35,125.59,68.12,8.48,Silty Clay,"(26.486088406538542, 287.1409583564448)"
51.88,26.89,54.39,120.81,28.01,5.79,Loam,"(16.587460088514977, 294.29658467946587)"
57.56,48.21,40.83,102.12,85.28,5.45,Loam,"(19.023907640903914, 138.25311559680148)"
43.34,27.35,68.35,85.81,30.47,6.54,Loam,"(15.075476842132883, 284.59828782126704)"
32.15,21.62,30.1,58.5,38.18,4.66,Sandy Loam,"(26.160793566266314, 238.64370850091404)"
61.28,42.41,57.23,106.52,69.22,8.35,Clayey Loam,"(18.86696894733338, 189.19320539353464)"
45.58,47.24,44.85,40.94,59.34,7.88,Sandy,"(20.57216394897248, 238.10630034830533)"
46.39,42.34,59.56,82.91,87.83,4.19,Silty Clay Loam,"(23.753879192498296, 199.84444731808972)"
62.32,49.74,50.9,50.17,24.82,7.58,Sandy,"(28.51732498075414, 243.0446676739044)"
34.82,49.69,66.14,145.33,47.67,5.23,Clayey Loam,"(16.151730268207576, 365.10559460673267)"
56.36,28.72,73.79,72.02,46.33,5.8,Sandy,"(21.482728477856092, 335.419206987003)"
33.01,24.71,63.45,116.73,96.03,5.62,Silty Clay,"(29.294046440402667, 400.1404918201502)"
42.56,29.51,50.46,146.6,60.89,4.06,Clayey Loam,"(25.49641635632215, 460.42819457395643)"
39.21,49.55,29.89,146.5,48.01,8.2,Silty Clay,"(24.746352703102275, 314.3670855654181)"
55.04,26.63,42.8,106.44,85.49,4.52,Sandy,"(31.11876021381302, 295.74273072658036)"
50.56,17.93,41.37,84.4,22.43,5.35,Sandy,"(25.32209333767051, 310.0691485304575)"
42.89,42.97,47.65,149.59,85.22,5.09,Clayey Loam,"(18.784297645329715, 402.8720974947274)"
67.57,43.13,42.03,47.11,29.96,6.74,Sandy Clay Loam,"(17.60471612029194, 135.66737794336507)"
66.27,34.81,59.43,92.7,44.72,4.05,Silty Clay,"(19.459112375227853, 178.38271560296627)"
34.84,15.68,49.18,115.83,42.37,8.19,Loam,"(22.733369297424975, 359.555390595453)"
51.08,38.05,66.35,136.12,78.4,7.54,Loam,"(29.759083591319836, 214.46127729849263)"
53.86,22.97,36.83,41.28,70.09,8.31,Sandy,"(25.66229599313482, 405.55327112468217)"
60.22,49.21,36.99,56.04,51.18,4.03,Sandy Clay Loam,"(16.364272455693566, 130.94791149726535)"
42.56,41.34,73.64,95.65,58.71,4.67,Sandy Clay Loam,"(23.676752497059766, 261.1286297815885)"
47.38,49.42,34.07,66.2,51.59,5.56,Sandy Loam,"(21.877841802728074, 267.8215174835022)"
54.91,42.58,33.96,52.95,75.97,6.79,Clayey Loam,"(22.728503617579406, 498.527897388144)"
39.02,16.77,47.26,130.77,23.76,8.38,Clayey Loam,"(18.59088412733562, 346.0011913793486)"
61.96,17.33,61.91,40.81,92.42,6.19,Silty Clay Loam,"(16.857431703627004, 186.78947740058993)"
51.2,41.52,32.06,136.92,98.31,7.64,Sandy Loam,"(30.630306758518678, 454.19108981849104)"
59.12,36.16,50.7,136.05,56.96,8.37,Clayey Loam,"(29.480143574680532, 396.9814005722172)"
57.17,48.34,39.28,114.66,76.67,8.46,Sandy Clay Loam,"(19.828607936551762, 337.4753801889614)"
37.86,33.91,65.34,136.02,34.09,7.05,Silty Clay Loam,"(16.28860791781457, 130.57075676959295)"
67.19,15.91,31.87,121.02,48.3,4.33,Sandy Clay Loam,"(22.7082721215071, 461.7341418480188)"
64.8,49.75,59.22,85.32,53.3,6.52,Silty Clay Loam,"(22.30818990294051, 185.96855036163987)"
62.35,39.89,46.91,81.54,63.97,4.25,Silty Clay,"(23.66335970250971, 382.04929215692687)"
69.66,41.59,56.34,118.32,37.44,7.51,Silty Clay,"(26.399410749533843, 458.74818091906633)"
66.99,41.19,54.2,103.92,33.51,7.32,Silty Clay,"(17.408622951756783, 186.97912073617692)"
63.24,44.02,25.12,56.56,46.43,4.76,Silty Clay Loam,"(29.000430373709776, 199.74409776416644)"
48.41,27.43,53.46,92.31,96.11,7.52,Clayey Loam,"(16.51648928822902, 276.8448322071988)"
52.03,40.08,61.94,66.65,98.28,7.08,Silty Clay,"(23.857765331961158, 170.63260565868202)"
31.15,43.43,59.07,148.01,67.65,6.38,Sandy,"(21.381872869329506, 163.36313133574947)"
55.03,42.46,45.21,51.44,94.46,7.22,Sandy Loam,"(26.781290726960698, 432.7306066425718)"
61.98,43.92,33.04,136.48,97.78,6.44,Sandy Loam,"(24.448803428295484, 284.31282320133437)"
51.87,27.48,48.02,66.34,44.44,8.11,Sandy,"(24.519465280244262, 431.7887005166059)"
63.4,36.49,45.17,128.09,31.03,8.24,Sandy,"(19.299777928800978, 294.16671782387243)"
63.48,39.64,71.06,46.18,99.06,7.19,Clayey Loam,"(23.203066261705786, 380.85344287303667)"
33.76,16.38,27.47,42.48,35.81,8.25,Sandy Loam,"(28.588998295252953, 310.88894166106303)"
58.1,19.95,30.21,129.16,95.18,5.06,Sandy Clay Loam,"(23.108025476720606, 465.9607541250226)"
55.52,16.04,53.21,131.09,81.1,6.36,Silty Clay Loam,"(28.5432713420253, 336.70176332701465)"
59.36,37.04,74.46,42.41,78.35,5.13,Loam,"(22.157862781328156, 475.2560187939401)"
57.09,27.11,47.35,147.91,80.54,6.28,Sandy Clay Loam,"(25.58773895858753, 367.27180554703466)"
42.53,43.19,56.27,65.06,93.45,8.11,Sandy,"(31.901905941668556, 457.9238701570226)"
35.66,15.19,38.77,71.92,73.46,7.6,Sandy Clay Loam,"(29.647107758070327, 146.79254957776715)"
33.97,19.32,66.39,43.01,80.67,4.96,Silty Clay Loam,"(22.642445806191635, 300.27856487466056)"
33.15,20.1,41.59,139.96,93.63,4.83,Sandy Clay Loam,"(26.820223535659867, 224.59510355989318)"
38.58,36.47,38.45,43.53,44.55,5.37,Sandy Loam,"(21.418450655640335, 496.8308948716376)"
41.29,38.53,32.72,87.75,89.31,7.85,Silty Clay Loam,"(20.33344805462367, 306.9632818468636)"
57.26,15.35,38.59,141.14,85.41,6.65,Sandy Clay Loam,"(21.554021569229448, 306.7366644250318)"
34.44,31.22,59.38,143.97,38.12,7.7,Loam,"(27.22423452337201, 377.64380299956235)"
